Type,Description,Case#,Location#,LocationName,Agency,DateMonth2015,DateDay,Hour,Minute,AMPM,Thour,long,lat,spec
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115017685,100,BLOCK W MADISON ST,Eau Claire Police,8,30,1,0,AM,1,44.815658,-91.509354,
ORD COMPLAINT,DISORDERLY CONDUCT,Eau Claire CSO 0215005647,3400,BLOCK W CAMERON ST,Eau Claire County Sheriff,8,30,12,59,AM,0,44.814287,-91.556407,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115017662,200,BLOCK WASHINGTON ST,Eau Claire Police,8,30,12,58,AM,0,44.803767,-91.493807,
DISTURBANCE,,Eau Claire PD 0115017661,1200,BLOCK 5TH AV,Eau Claire Police,8,30,12,36,AM,0,44.811519,-91.510118,near evengelical luthern church
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115017660,300,BLOCK MARSTON CT,Eau Claire Police,8,30,12,34,AM,0,44.803588,-91.491773,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115018800,500,BLOCK S DEWEY ST,Eau Claire Police,9,12,11,52,PM,23,44.810388,-91.495864,
DISTURBANCE,,Eau Claire PD 0115018799,2400,BLOCK 4TH ST,Eau Claire Police,9,12,11,0,PM,23,44.823549,-91.515526,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018797,300,BLOCK 6TH AV,Eau Claire Police,9,12,10,50,PM,22,44.803142,-91.511806,near water street
THEFT,OTHER,Eau Claire CSO 0215006059,4900,BLOCK OLSON DR,Eau Claire County Sheriff,9,12,8,0,PM,20,44.83813,-91.428862,
DISTURBANCE,,Eau Claire CSO 0215006045,2500,BLOCK BLAKELEY AV,Eau Claire County Sheriff,9,12,6,59,PM,18,44.793304,-91.465744,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018787,1100,BLOCK BARRON ST,Eau Claire Police,9,12,6,1,PM,18,44.8277,-91.506105,
THEFT,RETAIL,Eau Claire PD 0115018770,3900,BLOCK GATEWAY DR,Eau Claire Police,9,12,3,58,PM,15,44.776027,-91.431761,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115018774,3000,BLOCK RUNWAY AV,Eau Claire Police,9,12,3,0,PM,15,44.870992,-91.468737,
FRAUD,ALL OTHER,Eau Claire PD 0115018768,2700,BLOCK 5TH ST,Eau Claire Police,9,12,2,48,PM,14,44.825774,-91.517372,
THEFT,RETAIL,Eau Claire PD 0115018754,4800,BLOCK GOLF RD,Eau Claire Police,9,12,12,4,PM,12,44.775081,-91.441228,mall
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115018746,500,BLOCK FULTON ST,Eau Claire Police,9,12,10,1,AM,10,44.810633,-91.509873,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115018729,1100,BLOCK W HAMILTON AV,Eau Claire Police,9,12,2,12,AM,2,44.785546,-91.516773,
DISTURBANCE,FIGHTING,Eau Claire PD 0115018723,400,BLOCK 6TH AV,Eau Claire Police,9,12,12,34,AM,0,44.804131,-91.511859,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018724,700,BLOCK WATER ST,Eau Claire Police,9,12,12,28,AM,0,44.802173,-91.513845,water street
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018722,800,BLOCK NIAGARA ST,Eau Claire Police,9,12,12,21,AM,0,44.8041,-91.515962,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115018720,200,BLOCK WASHINGTON ST,Eau Claire Police,9,11,11,48,PM,23,44.803759,-91.493785,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018721,1600,BLOCK 11TH ST,Eau Claire Police,9,11,11,34,PM,23,44.815704,-91.524105,near cameron park playground
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115018795,300,BLOCK WATER ST,Eau Claire Police,9,11,11,30,PM,23,44.802158,-91.505687,water street
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018718,400,BLOCK WASHINGTON ST,Eau Claire Police,9,11,10,13,PM,22,44.804664,-91.491953,
DISTURBANCE,FIGHTING,Eau Claire PD 0115018714,200,BLOCK W MADISON ST,Eau Claire Police,9,11,10,10,PM,22,44.815605,-91.510295,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018716,2000,BLOCK 3RD ST,Eau Claire Police,9,11,8,31,PM,20,44.819267,-91.513576,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018707,3100,BLOCK ELDORADO BLVD,Eau Claire Police,9,11,8,17,PM,20,44.788061,-91.514953,
ANIMAL,BARKING DOG,Eau Claire PD 0115018703,3300,BLOCK 33RD ST,Eau Claire Police,9,11,7,21,PM,19,44.831582,-91.55458,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115018697,600,BLOCK BROADWAY ST,Eau Claire Police,9,11,6,34,PM,18,44.805069,-91.511856,
CRIMINAL DAMAGE,,Eau Claire CSO 0215006018,8700,BLOCK NINE MILE CREEK RD,Eau Claire County Sheriff,9,11,6,7,PM,18,44.801138,-91.360165,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115018980,4800,BLOCK GOLF RD,Eau Claire Police,9,11,5,30,PM,17,44.775097,-91.441238,mall
SEX OFFENSE,OTHER FELONY ASSAULT,Eau Claire PD 0115018755,700,BLOCK CARSON PARK DR,Eau Claire Police,9,11,3,0,PM,15,44.808041,-91.520413,carson park
THEFT,IDENTITY,Eau Claire CSO 0215006012,2500,BLOCK E HAMILTON AV,Eau Claire County Sheriff,9,11,2,11,PM,14,44.785597,-91.465656,
THEFT,RETAIL,Eau Claire CSO 0215006010,S5300 ,BLOCK HWY 27,Eau Claire County Sheriff,9,11,1,49,PM,13,,,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018680,1400,BLOCK STATE ST,Eau Claire Police,9,11,1,41,PM,13,44.800907,-91.494821,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018368,800,BLOCK ZEPHYR HILL AV,Eau Claire Police,9,11,1,36,PM,13,44.823668,-91.473611,
FRAUD,CREDIT CARD,Eau Claire PD 0115018677,1200,BLOCK BARRON ST,Eau Claire Police,9,11,12,26,PM,12,44.829123,-91.505848,
DISTURBANCE,,Eau Claire PD 0115018675,3000,BLOCK RUNWAY AV,Eau Claire Police,9,11,12,14,PM,12,44.871015,-91.468737,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018935,3700,BLOCK GATEWAY DR,Eau Claire Police,9,11,12,0,PM,12,44.778243,-91.431611,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018668,900,BLOCK W CLAIREMONT AV,Eau Claire Police,9,11,11,3,AM,11,44.794492,-91.5109,sacred heart hospital
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115018671,900,BLOCK RICHARD DR,Eau Claire Police,9,11,9,30,AM,9,44.790581,-91.508432,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018657,700,BLOCK LAKE ST,Eau Claire Police,9,11,9,22,AM,9,44.806978,-91.512762,
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115018833,3100,BLOCK BLAKELEY AV,Eau Claire Police,9,11,9,0,AM,9,44.787426,-91.465743,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115018642,2200,BLOCK HEIGHTS DR,Eau Claire Police,9,11,2,41,AM,2,44.795685,-91.515617,near clairemont nursing and rehab
DISTURBANCE,FIGHTING,Eau Claire PD 0115018641,1500,BLOCK EMERY ST,Eau Claire Police,9,11,2,15,AM,2,44.810902,-91.480348,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115018638,3700,BLOCK RUDOLPH RD,Eau Claire Police,9,11,1,52,AM,1,44.779968,-91.47828,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018708,100,BLOCK MARSTON AV,Eau Claire Police,9,11,1,30,AM,1,44.802876,-91.497036,
DISTURBANCE,,Eau Claire PD 0115018632,400,BLOCK VINE ST,Eau Claire Police,9,10,11,8,PM,23,44.819105,-91.514841,
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115018672,2400,BLOCK GOLF RD,Eau Claire Police,9,10,11,0,PM,23,44.771149,-91.465457,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018628,2000,BLOCK 3RD ST,Eau Claire Police,9,10,9,21,PM,21,44.819267,-91.513576,
ANIMAL,BARKING DOG,Eau Claire PD 0115018627,4500,BLOCK KAPPUS DR,Eau Claire Police,9,10,8,59,PM,20,44.771131,-91.46546,
SEX OFFENSE,LEWD & LASCIVIOUS,Eau Claire PD 0115018684,2900,BLOCK WINSOR DR,Eau Claire Police,9,10,5,0,PM,17,44.836309,-91.469603,
THEFT,OTHER,Eau Claire CSO 0215005981,S7600 ,BLOCK BALSAM RD,Eau Claire County Sheriff,9,10,4,30,PM,16,44.719785,-91.489297,
DISTURBANCE,,Eau Claire PD 0115018584,2500,BLOCK PAUL ST,Eau Claire Police,9,10,12,28,PM,12,44.773853,-91.463571,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018829,2800,BLOCK THOMAS DR,Eau Claire Police,9,10,10,53,AM,10,44.790097,-91.506264,
GRAFFITI,SCHOOL PROPERTY,Eau Claire PD 0115018597,2200,BLOCK KEITH ST,Eau Claire Police,9,10,8,0,AM,8,44.796473,-91.473376,near memorial hs
DISTURBANCE,,Eau Claire PD 0115018576,400,BLOCK HOBART ST,Eau Claire Police,9,10,7,13,AM,7,44.816265,-91.503149,
DISTURBANCE,,Eau Claire PD 0115018571,200,BLOCK PLATT ST,Eau Claire Police,9,10,2,30,AM,2,44.818282,-91.512204,
,,Eau Claire CSO 0215005964,3300,BLOCK LONDON RD,Eau Claire County Sheriff,9,10,1,13,AM,1,44.785112,-91.463791,
THEFT,OTHER,Eau Claire CSO 0215005963,2900,BLOCK BLAKELEY AV,Eau Claire County Sheriff,9,9,11,55,PM,23,44.789209,-91.465746,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018563,800,BLOCK W CLAIREMONT AV,Eau Claire Police,9,9,11,40,PM,23,44.793005,-91.510336,
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115018562,4800,BLOCK SOUTHRIDGE CT,Eau Claire Police,9,9,11,1,PM,23,44.783814,-91.434848,
DISTURBANCE,,Eau Claire CSO 0215005956,8600,BLOCK BURNELL DR,Eau Claire County Sheriff,9,9,8,0,PM,20,44.844693,-91.355595,
DISTURBANCE,,Eau Claire PD 0115018545,3100,BLOCK HIDDEN PL,Eau Claire Police,9,9,5,35,PM,17,44.786851,-91.521434,
DISTURBANCE,,Eau Claire PD 0115018564,1600,BLOCK WESTERN AV,Eau Claire Police,9,9,5,0,PM,17,44.835208,-91.477606,
FRAUD,,Eau Claire CSO 0215005950,4800,BLOCK OLSON DR,Eau Claire County Sheriff,9,9,4,22,PM,16,44.836194,-91.430479,
THEFT,RETAIL,Eau Claire PD 0115018530,3600,BLOCK S HASTINGS WAY,Eau Claire Police,9,9,3,29,PM,15,44.781346,-91.440988,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018521,900,BLOCK RICHARD DR,Eau Claire Police,9,9,1,36,PM,13,44.790574,-91.508421,
THEFT,IDENTITY,Eau Claire CSO 0215005942,7700,BLOCK ELAYNE DR,Eau Claire County Sheriff,9,9,9,32,AM,9,44.807856,-91.383122,
DISTURBANCE,,Eau Claire PD 0115018500,1800,BLOCK ARLENE PL,Eau Claire Police,9,9,7,27,AM,7,44.818185,-91.533659,
COUNTERFEIT,CURRENCY,Eau Claire PD 0115018497,2200,BLOCK BIRCH ST,Eau Claire Police,9,9,5,30,AM,5,44.820522,-91.478619,
ANIMAL,BARKING DOG,Eau Claire PD 0115018494,400,BLOCK DODGE ST,Eau Claire Police,9,9,12,9,AM,0,44.812124,-91.494459,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018492,2600,BLOCK SEYMOUR RD,Eau Claire Police,9,8,8,30,PM,20,44.826472,-91.473505,
DRUG INVESTIGATION /INFORMATION,,Eau Claire CSO 0215005928,4800,BLOCK TOWER DR,Eau Claire County Sheriff,9,8,8,8,PM,20,44.828988,-91.431251,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018484,2500,BLOCK FROSTWOODS ST,Eau Claire Police,9,8,7,31,PM,19,44.843309,-91.470568,
DISTURBANCE,ALL OTHER,Eau Claire PD 0115018480,1000,BLOCK STATE ST,Eau Claire Police,9,8,7,7,PM,19,44.805496,-91.494414,
DISTURBANCE,,Eau Claire CSO 0215005926,1800,BLOCK MOURNING DOVE CT,Eau Claire County Sheriff,9,8,6,47,PM,18,44.765583,-91.522076,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018456,1000,BLOCK EMERY ST,Eau Claire Police,9,8,5,0,PM,17,44.810522,-91.488527,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018469,300,BLOCK WILLIAM ST,Eau Claire Police,9,8,4,27,PM,16,44.817516,-91.503459,
DRUG,MULTIPLE TYPES POSSESSION,Eau Claire PD 0115018461,100,BLOCK GIBSON ST,Eau Claire Police,9,8,4,2,PM,16,44.811002,-91.501663,
FRAUD,,Eau Claire CSO 0215005917,2800,BLOCK LONDON RD,Eau Claire County Sheriff,9,8,3,1,PM,15,44.789688,-91.46386,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115018605,4400,BLOCK LASALLE ST,Eau Claire Police,9,8,3,0,PM,15,44.839509,-91.439536,mobile home village
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115018445,2300,BLOCK 4TH ST,Eau Claire Police,9,8,1,51,PM,13,44.822464,-91.51532,
SEXUAL ASSAULTS,,Eau Claire CSO 0215005913,700,BLOCK OXFORD AV,Eau Claire County Sheriff,9,8,1,28,PM,13,44.807018,-91.504378,near county human services
THEFT,RETAIL,Eau Claire PD 0115018442,4000,BLOCK COMMONWEALTH AV,Eau Claire Police,9,8,12,30,PM,12,44.774655,-91.437352,near mall
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115018362,600,BLOCK CARSON PARK DR,Eau Claire Police,9,8,12,17,PM,12,44.808528,-91.520103,carson park
SEX OFFENDER,SORP REGISTRATION,Eau Claire PD 0115018423,600,BLOCK N BARSTOW ST,Eau Claire Police,9,8,9,48,AM,9,44.81895,-91.502514,near barstow school
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115018421,200,BLOCK BROADWAY ST,Eau Claire Police,9,8,9,38,AM,9,44.805087,-91.503438,
DISTURBANCE,,Eau Claire PD 0115018416,1500,BLOCK CAMERON ST,Eau Claire Police,9,8,7,48,AM,7,44.814258,-91.530492,gospel center
BURGLARY,UNLAWFUL ENTRY,Eau Claire CSO 0215005900,2800,BLOCK BLAKELEY AV,Eau Claire County Sheriff,9,8,5,25,AM,5,44.789903,-91.465721,
DISTURBANCE,,Eau Claire PD 0115018412,800,BLOCK W CLAIREMONT AV,Eau Claire Police,9,8,3,44,AM,3,44.793028,-91.51039,
DRUG,MULTIPLE TYPES POSSESSION,Eau Claire PD 0115018410,400,BLOCK GERMANIA ST,Eau Claire Police,9,8,12,31,AM,0,44.817982,-91.496805,
DISTURBANCE,,Eau Claire PD 0115018409,600,BLOCK CAMERON ST,Eau Claire Police,9,8,12,19,AM,0,44.816236,-91.518198,
DISTURBANCE,,Eau Claire PD 0115018408,800,BLOCK W CLAIREMONT AV,Eau Claire Police,9,8,12,5,AM,0,44.793028,-91.51039,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018512,100,BLOCK MARSTON AV,Eau Claire Police,9,8,12,1,AM,0,44.802884,-91.497068,
DISTURBANCE,,Eau Claire PD 0115018401,500,BLOCK FRANKLIN ST,Eau Claire Police,9,7,10,6,PM,22,44.818607,-91.495463,
DISTURBANCE,,Eau Claire PD 0115018406,5700,BLOCK CHRISTOPHER DR,Eau Claire Police,9,7,10,0,PM,22,44.83824,-91.586416,
DISTURBANCE,,Eau Claire CSO 0215005893,W1100 ,BLOCK MAPLE RD,Eau Claire County Sheriff,9,7,8,56,PM,20,,,
DISTURBANCE,,Eau Claire PD 0115018398,4700,BLOCK KAPPUS DR,Eau Claire Police,9,7,8,48,PM,20,44.769129,-91.465059,
DISTURBANCE,,Eau Claire PD 0115018395,900,BLOCK RICHARD DR,Eau Claire Police,9,7,7,56,PM,19,44.790581,-91.5084,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115018394,400,BLOCK W GRAND AV,Eau Claire Police,9,7,7,43,PM,19,44.80826,-91.506281,
THEFT,FROM AUTO EXTERNAL PARTS,Eau Claire PD 0115018554,300,BLOCK GIBSON ST,Eau Claire Police,9,7,12,0,PM,12,44.811615,-91.500128,
THEFT,RETAIL,Eau Claire PD 0115018342,3700,BLOCK GATEWAY DR,Eau Claire Police,9,7,2,53,AM,2,44.778243,-91.43159,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018363,1800,BLOCK OMAHA ST,Eau Claire Police,9,7,2,0,AM,2,44.821931,-91.483882,
DRUG,METH POSSESSION,Eau Claire PD 0115018340,2600,BLOCK BIRCH ST,Eau Claire Police,9,7,1,6,AM,1,44.820943,-91.473639,
DISTURBANCE,FIGHTING,Eau Claire PD 0115018336,400,BLOCK GALLOWAY ST,Eau Claire Police,9,7,12,41,AM,0,44.814586,-91.501389,
DISTURBANCE,,Eau Claire PD 0115018337,400,BLOCK HUDSON ST,Eau Claire Police,9,7,12,40,AM,0,44.806053,-91.507747,near methodist church
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115018335,3200,BLOCK BLAKELEY AV,Eau Claire Police,9,7,12,30,AM,0,44.786366,-91.465726,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018338,2600,BLOCK SEYMOUR RD,Eau Claire Police,9,7,12,24,AM,0,44.826464,-91.473537,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018333,2800,BLOCK TERRY LA,Eau Claire Police,9,7,12,23,AM,0,44.84917,-91.470665,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018334,600,BLOCK WATER ST,Eau Claire Police,9,7,12,20,AM,0,44.802161,-91.512035,water street
DISTURBANCE,,Eau Claire PD 0115018330,500,BLOCK UNION ST,Eau Claire Police,9,7,12,14,AM,0,44.808816,-91.509818,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018332,1200,BLOCK GRAHAM AV,Eau Claire Police,9,7,12,9,AM,0,44.803722,-91.493765,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018329,600,BLOCK RIPLEY AV,Eau Claire Police,9,7,12,1,AM,0,44.802168,-91.486318,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018255,200,BLOCK HUDSON ST,Eau Claire Police,9,6,11,19,PM,23,44.806023,-91.503464,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115018328,900,BLOCK S BARSTOW ST,Eau Claire Police,9,6,11,14,PM,23,44.806249,-91.49511,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115018326,3800,BLOCK ROBIN RD,Eau Claire Police,9,6,10,21,PM,22,44.862958,-91.460609,
DRUG,METH POSSESSION,Eau Claire PD 0115018322,800,BLOCK E PRAIRIE LA,Eau Claire Police,9,6,9,13,PM,21,,,
BATTERY,HANDS FIST FEET AGGRAV,Eau Claire PD 0115018324,900,BLOCK RICHARD DR,Eau Claire Police,9,6,8,44,PM,20,44.790574,-91.508432,
DISTURBANCE,,Eau Claire CSO 0215005855,2500,BLOCK BLAKELEY AV,Eau Claire County Sheriff,9,6,7,4,PM,19,44.793304,-91.465766,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018309,1000,BLOCK KEITH ST,Eau Claire Police,9,6,6,31,PM,18,44.807322,-91.473458,
DISTURBANCE,,Eau Claire PD 0115018308,1300,BLOCK FAIRWAY ST,Eau Claire Police,9,6,6,4,PM,18,44.81311,-91.483643,near our saviors luthran church
DISTURBANCE,,Eau Claire PD 0115018307,1800,BLOCK SUMMIT ST,Eau Claire Police,9,6,5,57,PM,17,44.81875,-91.483796,near mt tom park
DISTURBANCE,,Eau Claire PD 0115018306,400,BLOCK HOBART ST,Eau Claire Police,9,6,5,27,PM,17,44.816257,-91.503159,
ROBBERY,FIREARM,Eau Claire PD 0115018303,200,BLOCK W NORTH CROSSING,Eau Claire Police,9,6,5,4,PM,17,,,
DISTURBANCE,,Eau Claire PD 0115018313,3200,BLOCK LOCUST LA,Eau Claire Police,9,6,5,0,PM,17,44.852442,-91.464407,near locust lane elementary school
FRAUD,CREDIT CARD,Eau Claire PD 0115018381,1300,BLOCK OXFORD AV,Eau Claire Police,9,6,4,8,PM,16,44.812559,-91.509295,near evangelical lutheran church
DISTURBANCE,,Eau Claire PD 0115018297,800,BLOCK N HASTINGS WAY,Eau Claire Police,9,6,3,4,PM,15,44.823284,-91.475936,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115018483,1000,BLOCK PORTER AV,Eau Claire Police,9,6,12,0,PM,12,44.804906,-91.495955,
DISTURBANCE,,Eau Claire CSO 0215005847,2400,BLOCK CORONA AV,Eau Claire County Sheriff,9,6,9,10,AM,9,44.797458,-91.466944,
DISTURBANCE,,Eau Claire PD 0115018283,2100,BLOCK 8TH ST,Eau Claire Police,9,6,7,45,AM,7,44.819928,-91.520903,
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115018279,1800,BLOCK GOFF AV,Eau Claire Police,9,6,5,59,AM,5,44.799145,-91.47595,proximity of 2 churches
DISTURBANCE,,Eau Claire PD 0115018276,1800,BLOCK BELLINGER ST,Eau Claire Police,9,6,4,48,AM,4,44.817209,-91.511393,hmong alliance church
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115018274,400,BLOCK SUMMIT AV,Eau Claire Police,9,6,3,8,AM,3,44.800461,-91.492208,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115018272,700,BLOCK 1ST AV,Eau Claire Police,9,6,2,52,AM,2,44.807085,-91.501075,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115018273,300,BLOCK WALNUT ST,Eau Claire Police,9,6,2,52,AM,2,44.821436,-91.513917,
DISTURBANCE,FIGHTING,Eau Claire PD 0115018270,300,BLOCK E MADISON ST,Eau Claire Police,9,6,2,36,AM,2,44.816245,-91.50307,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115018281,1200,BLOCK WHIPPLE ST,Eau Claire Police,9,6,2,30,AM,2,44.811454,-91.513465,near mayo clinic health system
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115018268,1200,BLOCK MENOMONIE ST,Eau Claire Police,9,6,2,0,AM,2,44.800319,-91.526388,
DISTURBANCE,FIGHTING,Eau Claire PD 0115018266,1500,BLOCK BELLINGER ST,Eau Claire Police,9,6,1,35,AM,1,44.814748,-91.511368,near a bar
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115018277,300,BLOCK WATER ST,Eau Claire Police,9,6,1,20,AM,1,44.802189,-91.505676,water street
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115018264,500,BLOCK WATER ST,Eau Claire Police,9,6,1,11,AM,1,44.8022,-91.50981,water street
FRAUD,CREDIT CARD,Eau Claire PD 0115018525,2600,BLOCK ARTHUR ST,Eau Claire Police,9,6,1,0,AM,1,44.778337,-91.465633,
DISTURBANCE,,Eau Claire PD 0115018262,2800,BLOCK STARR AV,Eau Claire Police,9,6,12,30,AM,0,44.846635,-91.479048,
ORD COMPLAINT,UNDERAGE DRINKING,Eau Claire PD 0115018257,200,BLOCK NIAGARA ST,Eau Claire Police,9,6,12,7,AM,0,44.804099,-91.50338,
